timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
32345296,4002,0,-0.19791745,-0.3670574,-9.899448,-0.0022608861,0.0016420799,-0.039176997,63.451523,156.9064,0.0047884034,1442826,-81,134,2008,10271
32449294,3973,0,0.4761893,0.110147394,-10.100155,0.0052132597,-0.00090700365,-0.040031943,63.44044,156.9064,0.0047884034,1442826,12,-85,2137,10267
32553303,3981,0,-0.31568164,-0.5019716,-9.810064,-0.000589334,0.0007968646,-0.03970871,63.465374,156.9064,0.0047884034,1442826,-366,-49,2056,10276
32653294,3961,0,0.042475224,0.30031213,-9.561395,-0.0007605684,-0.0049503883,-0.037787642,63.462605,156.9064,0.0047884034,1442826,416,199,1825,10275
32753300,3961,0,0.2732665,1.3348895,-10.183494,0.0024148957,0.004749758,-0.034379963,63.45983,156.9064,0.0047884034,1442826,67,-22,2221,10274
32857331,4037,0,0.23175475,1.4076663,-10.24856,0.0012161641,0.009841491,-0.037864175,63.448753,156.9064,0.0047884034,1442826,-186,229,1513,10270
32961340,4044,0,0.12439376,1.5307145,-9.556047,-0.001524215,0.004138103,-0.036560077,63.473682,156.9064,0.0047884034,1442826,55,-81,1827,10279
33061294,3995,0,0.11177081,1.432238,-9.505656,0.00018896126,0.005569446,-0.036625285,63.498615,156.9064,0.0047884034,1442826,338,-71,1743,10288
33162925,3980,0,0.1815697,1.196601,-9.595094,1.4579149e-05,-0.0086150635,-0.03715165,63.512466,156.9064,0.0047884034,1442826,543,19,1968,10293
33262870,4000,0,0.09359591,0.2174557,-9.8617115,-0.00353846,-0.01290483,-0.04166698,63.520775,156.9064,0.0047884034,1442826,639,204,2416,10296
33366902,4031,0,-0.55353105,-1.2055833,-9.943921,0.00045980493,0.00433853,-0.03850885,63.495846,156.9064,0.0047884034,1442826,-455,47,2109,10287
33466893,3993,0,0.029367264,0.052620042,-9.933745,0.0045805387,0.008486792,-0.04275129,63.495846,156.9064,0.0047884034,1442826,-666,-147,1902,10287
33570907,4014,0,0.24863541,0.8373004,-9.681114,-0.005623106,-0.0043634586,-0.039307084,63.493073,156.9064,0.0047884034,1442826,324,335,2154,10286
33670905,3997,0,-0.70241857,-0.39194873,-9.759802,-0.0063653626,-0.0055481633,-0.03893409,63.515236,156.9064,0.0047884034,1442826,310,313,2244,10294
33774925,3980,0,0.112120606,0.30314696,-9.895469,0.0066592647,0.008737939,-0.03872157,63.520775,156.9064,0.0047884034,1442826,-253,-444,1754,10296
33878925,4017,0,0.30959824,0.45345676,-9.542733,-0.0060799136,-0.006021994,-0.04592991,63.520775,156.9064,0.0047884034,1442826,351,466,2298,10296
33978894,4001,0,-0.35983425,-0.7488759,-10.08114,-0.005080983,-0.0052402257,-0.040815413,63.540165,156.9064,0.0047884034,1442826,156,235,2299,10303
34080559,4045,0,-0.23679602,-0.08985174,-9.929372,0.0009972274,0.0076107644,-0.03575433,63.523544,156.9064,0.0047884034,1442826,-473,-165,1728,10297
34180514,4000,0,-0.014307292,0.8766872,-9.300208,0.00056463794,0.0018728583,-0.037016924,63.559555,156.9064,0.0047884034,1442826,-153,51,2016,10310
34284514,3994,0,-0.1363405,-0.5040855,-9.987128,-0.0017399591,-0.005024661,-0.03939724,63.554016,156.9064,0.0047884034,1442826,463,144,2361,10308
34384514,4001,0,-0.37434196,-0.50944835,-9.960509,0.0037078983,0.008069651,-0.03637999,63.567867,156.9064,0.0047884034,1442826,-156,-268,1898,10313
34484550,4036,0,0.37691426,0.75050265,-9.480316,0.003187024,0.008847165,-0.03778643,63.556786,156.9064,0.0047884034,1442826,-245,85,2422,10309
34588514,4000,0,-0.3451697,-0.19791651,-9.962933,-0.00626773,-0.007877019,-0.04294941,63.537395,156.9064,0.0047884034,1442826,243,396,2019,10302
34688539,4019,0,-0.7233554,-0.49624202,-9.904526,0.0060901814,0.0025894863,-0.034256414,63.576176,156.9064,0.0047884034,1442826,-370,-222,1856,10316
34792521,4007,0,0.54221654,0.5948981,-9.734351,-0.006444322,-0.006636733,-0.041727435,63.584488,156.9064,0.0047884034,1442826,320,518,2010,10319
34896530,4010,0,0.31379396,0.49466255,-9.760599,0.0133838365,0.008298039,-0.03790049,63.606647,156.9064,0.0047884034,1442826,-368,-642,1575,10327
34996529,4009,0,-1.232491,-0.3850675,-10.05531,-0.012749644,-0.0035644416,-0.04325465,63.584488,156.9064,0.0047884034,1442826,423,-79,2010,10319
35098127,4032,0,1.1266648,0.6859726,-9.575542,-0.0033804623,-0.01171311,-0.04536089,63.606647,156.9064,0.0047884034,1442826,124,539,1748,10327
35202123,3984,0,0.93282586,0.46361145,-9.490024,-0.00638263,-0.010884168,-0.04084163,63.612186,156.9064,0.0047884034,1442826,-63,954,2159,10329
