timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
32342718,4200,0,-0.08456703,-0.5690004,-9.906334,-0.0035669205,-3.7786664e-05,-0.043068126,46.125,78.0,0.0023928226,1114658,215,100,-3664,0
32444588,4218,0,-0.28477696,0.6501127,-9.946108,0.0036303506,-0.0007850677,-0.03764826,46.125,78.0,0.0023928226,1114658,405,1056,-2877,-4
32550617,4200,0,-0.59775084,-0.58033854,-9.648488,-0.0033321981,-0.002857769,-0.037071627,46.0,78.0,0.0023928226,1114658,225,530,-3981,8193
32651417,4192,0,0.17978102,0.7446743,-9.512866,0.002644578,-0.0022070217,-0.041062813,46.25,78.0,0.0023928226,1114658,1217,117,-4457,8193
32755367,4199,0,0.4728583,1.2749183,-10.095522,0.0034519194,0.0033920137,-0.037749574,46.25,78.0,0.0023928226,1114658,1037,207,-3882,8192
32856167,4199,0,0.3253793,1.3493149,-10.579043,0.0018997467,0.018324502,-0.04395144,46.375,78.0,0.0023928226,1114658,-316,283,-4110,10278
32962250,4170,0,-0.021341953,2.1281476,-9.6124,-0.0060855392,-0.00013671101,-0.035019513,46.25,78.0,0.0023928226,1114658,1395,777,-3431,8192
33058845,4228,0,0.27397743,1.2368672,-9.62045,-0.007359379,0.0163171,-0.04125808,46.125,78.0,0.0023928226,1114658,251,-350,-4074,2049
33162788,4220,0,0.085787416,1.6092837,-9.545535,0.00090513204,-0.008524032,-0.040203787,46.125,78.0,0.0023928226,1114658,2498,966,-3913,2049
33263574,4207,0,0.11240836,0.015270874,-9.95161,-0.011032978,-0.014531698,-0.03537881,46.375,78.0,0.0023928226,1114658,2002,-324,-3752,8192
33365418,4146,0,-0.7772866,-1.7973814,-9.71994,0.0026639132,0.0011870727,-0.04111853,46.25,78.0,0.0023928226,1114658,-136,396,-4589,8676
33467267,5160,0,-0.32034406,0.072997704,-9.50227,0.0031019931,0.022411034,-0.050526958,46.25,78.0,0.0023928226,1114658,-491,556,-4496,-4
33568067,4199,0,0.69370085,1.5287688,-9.744451,-0.007983801,0.0028650663,-0.03572241,46.125,78.0,0.0023928226,1114658,1585,77,-4235,-4
33672018,5247,0,-0.7160238,-0.62388736,-9.71069,-0.007115432,-0.007986576,-0.0547453,46.125,78.0,0.0023928226,1114658,648,-842,-3160,0
33774979,4249,0,-0.063654944,0.1823871,-9.857532,0.008612856,0.014041613,-0.03738995,46.25,78.0,0.0023928226,1114658,-1088,1475,-3073,10296
33876768,5251,0,0.7007638,1.2341816,-9.060093,0.009878077,-0.003388287,-0.047848817,46.125,78.0,0.0023928226,1114658,1369,790,-5226,10294
33978627,5217,0,0.020166269,-0.7284719,-10.16834,-0.004598628,-0.009018873,-0.05672146,46.25,78.0,0.0023928226,1114658,542,-1168,-3178,8192
34079417,4199,0,-0.37996295,-0.31124896,-9.940133,0.0016172301,0.010419999,-0.04186693,46.25,78.0,0.0023928226,1114658,-782,1182,-3189,-4
34181385,4317,0,0.17589414,1.2792203,-9.305816,0.0013170053,0.0017572233,-0.04173673,46.125,78.0,0.0023928226,1114658,861,-64,-3346,-4
34284168,4173,0,0.0040817107,-0.73457676,-10.058163,-0.0020401936,-0.007607976,-0.03707069,46.25,78.0,0.0023928226,1114658,426,-314,-2993,2049
34384968,4156,0,-0.8183445,-0.6141202,-9.72675,0.006688124,0.008533535,-0.03314987,46.25,78.0,0.0023928226,1114658,-1464,2613,-3689,8193
34486878,4261,0,0.9030745,1.3512393,-9.622329,-0.0023819036,0.005444554,-0.03849754,46.125,78.0,0.0023928226,1114658,267,-924,-4480,8688
34586568,5228,0,0.23218347,0.580782,-9.659845,-0.015316589,-0.010333699,-0.046317715,46.125,78.0,0.0023928226,1114658,1474,-846,-4295,8688
34687368,4164,0,-1.4256018,-0.70625097,-9.823518,0.0035819896,0.00471145,-0.041451205,46.125,78.0,0.0023928226,1114658,-276,2875,-3246,8192
34793418,4149,0,0.55582565,0.79706925,-9.87691,-0.0101091955,-0.0061786217,-0.045937326,46.125,78.0,0.0023928226,1114658,2164,-842,-3904,8688
34894219,4147,0,-1.2393907,-0.45920628,-9.688436,0.022695988,0.014596627,-0.037339505,46.25,78.0,0.0023928226,1114658,-1083,2735,-4124,10323
34998204,4236,0,-2.0700555,-0.87587076,-9.777137,-0.018909402,-0.002721037,-0.042269222,46.375,78.0,0.0023928226,1114658,137,725,-4458,8193
35098993,4226,0,1.4710139,1.0262053,-9.962586,-0.011770706,-0.020114977,-0.054274097,46.375,78.0,0.0023928226,1114658,3249,-1136,-3355,10324
35200818,5240,0,1.4320897,1.367161,-9.680639,-0.0018610909,-0.0013438577,-0.059007008,46.125,78.0,0.0023928226,1114658,1627,133,-4456,2048
