timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
24365701,4027,0,0.14098714,-0.65238196,-9.584387,0.0006972563,0.003123552,-0.039641947,59.121883,156.9064,0.0047884034,1442850,11,-319,-2103,8708
24469707,4033,0,0.11334784,0.16472705,-9.986944,-0.003334945,-0.00032927978,-0.040640842,59.1108,156.9064,0.0047884034,1442850,76,22,-1704,8704
24573674,4000,0,-0.029225932,1.5185499,-10.591752,-0.0029527324,0.003332491,-0.040739506,59.124653,156.9064,0.0047884034,1442850,109,-168,-2183,8709
24674482,4000,0,-0.9302796,-1.8756075,-9.236752,-0.0034156176,0.001012666,-0.041886047,59.119114,156.9064,0.0047884034,1442850,-152,-427,-2150,8707
24774482,4000,0,0.3596337,1.5970126,-9.853517,-0.003467869,-0.013579726,-0.03287895,59.157894,156.9064,0.0047884034,1442850,189,630,-1925,8721
24874509,4021,0,0.34447286,1.7318091,-9.616826,0.006510013,0.0067509273,-0.03462231,59.138504,156.9064,0.0047884034,1442850,-235,-170,-2330,8714
24978488,4000,0,0.46960917,1.3984059,-9.837525,0.0044161323,-0.0042479797,-0.04063855,59.171745,156.9064,0.0047884034,1442850,-26,285,-1890,8726
25078482,3984,0,0.96385646,0.99935585,-10.163106,0.0020470512,-0.004897899,-0.036970545,59.152355,156.9064,0.0047884034,1442850,241,256,-2018,8719
25182496,4014,0,-0.62683606,-0.6611662,-9.488051,-0.017550854,-0.0002695499,-0.038188547,59.135735,156.9064,0.0047884034,1442850,853,-96,-2178,8713
25286482,3994,0,-1.8075774,0.49412727,-9.211307,0.0061238944,0.00787441,-0.052641857,59.121883,156.9064,0.0047884034,1442850,-415,-242,-2643,8708
25386498,4016,0,0.6266146,0.86079687,-10.33068,0.023804829,-0.0043434207,-0.05473085,59.155125,156.9064,0.0047884034,1442850,-1142,481,-2517,8720
25490464,4014,0,-0.8462431,0.83089644,-9.746697,0.009288846,0.006361681,-0.04973063,59.152355,156.9064,0.0047884034,1442850,-470,295,-2271,8719
