timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
26649131,4329,0,0.4469344,0.12465228,-10.038081,0.0027422283,-0.0055669304,-0.04341843,39.75,78.0,0.0023928226,1114658,797,291,-3556,3
26752953,5252,0,-0.41851726,0.88704324,-9.896729,0.0034484009,0.007698933,-0.049458943,39.875,78.0,0.0023928226,1114658,-1056,469,-3402,0
26850692,4283,0,-0.03772769,1.1461582,-9.888031,0.003313322,-0.004270901,-0.0461682,39.75,78.0,0.0023928226,1114658,966,597,-2975,6407
26955608,4092,0,0.30522627,1.0603437,-10.034923,0.005455646,0.01300168,-0.045675617,39.875,78.0,0.0023928226,1114658,-344,641,-3971,2049
27057480,4228,0,-0.78512263,-1.8816648,-10.163786,0.008070158,0.017667405,-0.036896292,39.625,78.0,0.0023928226,1114658,-2448,966,-3344,2048
27158251,4199,0,-1.1668108,-3.2550094,-9.9347925,-0.0026375926,-0.014647631,-0.045514934,39.75,78.0,0.0023928226,1114658,458,360,-4893,8192
27261158,4206,0,-0.8941306,-3.214626,-10.442474,-0.00095762685,0.0034820435,-0.037746374,39.625,78.0,0.0023928226,1114658,-1282,528,-3418,3
27363012,5250,0,-0.52140987,-1.2097937,-10.144845,0.0064043053,0.022324381,-0.0497299,39.75,78.0,0.0023928226,1114658,-1617,1763,-2260,2049
27463802,4200,0,0.66658866,1.7868596,-9.474986,0.011562904,0.019518638,-0.0379754,39.875,78.0,0.0023928226,1114658,55,820,-3751,6415
27566746,4245,0,-0.3744395,-1.1183845,-10.108289,-0.009972453,-0.005002443,-0.04761457,39.875,78.0,0.0023928226,1114658,1662,523,-2459,7817
27669602,4201,0,1.5765017,0.43712,-9.552683,0.0021883994,-0.0012038398,-0.037322044,39.75,78.0,0.0023928226,1114658,292,-1226,-5731,6412
27768344,4243,0,-1.0618479,-1.1441804,-10.24296,0.011950556,0.008095153,-0.04363546,39.75,78.0,0.0023928226,1114658,-164,2200,-2787,6413
27873302,4158,0,-0.1443134,-0.09139041,-9.771695,0.016056983,0.027459834,-0.043104142,39.875,78.0,0.0023928226,1114658,-2177,1948,-2908,3
27970956,4186,0,-0.74925756,0.5897899,-10.270698,0.008118484,0.0073083933,-0.036155656,39.75,78.0,0.0023928226,1114658,1134,3488,-1584,8193
28071752,4178,0,1.0475563,0.9980481,-9.691549,0.007712939,0.029226316,-0.05136431,39.75,78.0,0.0023928226,1114658,-1601,-78,-2669,6411
28176762,4210,0,1.4705739,1.3456844,-9.122836,-0.0109806005,0.013267142,-0.033204094,39.75,78.0,0.0023928226,1114658,547,-2226,-4333,2048
28277585,4233,0,1.0281096,0.6920586,-9.646667,-0.021844001,0.019382596,-0.03643475,39.625,78.0,0.0023928226,1114658,-1598,-3198,-4553,2049
28380490,4177,0,-0.47997835,0.14227927,-9.291767,-0.019693902,-0.013492309,-0.04768335,39.75,78.0,0.0023928226,1114658,2060,-459,-5354,16927
28484423,4063,0,1.0127443,-0.028537527,-8.767479,-0.008678415,0.00429555,-0.034916922,39.625,78.0,0.0023928226,1114658,-669,-1978,-6439,6410
28585202,4048,0,-0.10139485,-0.5915109,-8.937559,0.016285291,-0.018504772,-0.02608336,39.625,78.0,0.0023928226,1114658,-424,2808,-2360,6418
28686002,5250,0,-0.70501673,0.16139527,-9.306621,-0.08324377,-0.011304785,-0.030178223,39.875,78.0,0.0023928226,1114658,1517,-3347,-3490,6418
28786802,4057,0,-0.1167128,0.22112437,-9.262766,-0.010306929,-0.011555806,-0.015697414,39.875,78.0,0.0023928226,1114658,2688,101,-2363,6407
28887602,4075,0,-3.4467082,-0.1400325,-8.319101,-0.007346569,-0.004086935,-0.035780817,39.75,78.0,0.0023928226,1114658,-1670,5404,-8464,2049
28988402,4072,0,2.3032649,0.6272616,-10.779298,-0.042804614,-0.0022464702,-0.03291687,39.875,78.0,0.0023928226,1114658,1191,-7212,-1173,7860
